date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:47:05	6797/6797	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226769091f-1a8d%22	http://ecom.local/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/maestro.svg	C:/My%20Web%20Sites/ecom/ecom.local/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/maestro.svg	(from http://ecom.local/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-grid.min.css?ver=4.8.8)
12:47:05	2800/2800	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226769091f-af0%22	http://ecom.local/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/jcb.svg	C:/My%20Web%20Sites/ecom/ecom.local/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/jcb.svg	(from http://ecom.local/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-grid.min.css?ver=4.8.8)
12:47:05	4662/4662	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226769091f-1236%22	http://ecom.local/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/amex.svg	C:/My%20Web%20Sites/ecom/ecom.local/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/amex.svg	(from http://ecom.local/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-grid.min.css?ver=4.8.8)
12:47:06	2185/2185	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226769091f-889%22	http://ecom.local/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/discover.svg	C:/My%20Web%20Sites/ecom/ecom.local/wp-content/plugins/woocommerce/assets/images/icons/credit-cards/discover.svg	(from http://ecom.local/wp-content/themes/astra/assets/css/minified/compatibility/woocommerce/woocommerce-grid.min.css?ver=4.8.8)
12:47:07	56564/56564	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225f11dba7-dcf4%22	http://ecom.local/wp-includes/fonts/dashicons.eot?99ac726223c749443b642ce33df8b800	C:/My%20Web%20Sites/ecom/ecom.local/wp-includes/fonts/dashicons7d4b.eot	(from http://ecom.local/wp-includes/css/dashicons.min.css?ver=6.7.1)
12:47:15	56392/56392	---M--	200	added ('OK')	application/font-sfnt	etag:%225f11dba7-dc48%22	http://ecom.local/wp-includes/fonts/dashicons.ttf?99ac726223c749443b642ce33df8b800	C:/My%20Web%20Sites/ecom/ecom.local/wp-includes/fonts/dashicons7d4b.ttf	(from http://ecom.local/wp-includes/css/dashicons.min.css?ver=6.7.1)
12:47:17	1983/1983	---MCZ	200	added ('OK')	application/json	date:Mon,%2023%20Dec%202024%2007:17:16%20GMT	http://ecom.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fecom.local%2F	C:/My%20Web%20Sites/ecom/ecom.local/wp-json/oembed/1.0/embed36bb	(from http://ecom.local/)
12:47:18	8453/8453	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267690950-2105%22	http://ecom.local/wp-content/uploads/2021/08/site-logo.svg	C:/My%20Web%20Sites/ecom/ecom.local/wp-content/uploads/2021/08/site-logo.svg	(from http://ecom.local/shop/)
12:47:20	86915/86915	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22ffe433764a954a7407834a97eec1e7aa%22	http://ecom.local/shop/feed/	C:/My%20Web%20Sites/ecom/ecom.local/shop/feed/index.html	(from http://ecom.local/shop/)
12:47:21	6409/6409	---MCZ	200	added ('OK')	text/css	etag:W/%226769091c-1909%22	http://ecom.local/wp-content/plugins/woocommerce/assets/client/blocks/coming-soon.css?ver=wc-9.5.1	C:/My%20Web%20Sites/ecom/ecom.local/wp-content/plugins/woocommerce/assets/client/blocks/coming-soonfbdf.css	(from http://ecom.local/shop/)
12:47:21	96381/96381	---M--	200	added ('OK')	image/jpeg	etag:%226769096c-1787d%22	http://ecom.local/wp-content/uploads/2021/08/plants-store-story-section-img.jpg	C:/My%20Web%20Sites/ecom/ecom.local/wp-content/uploads/2021/08/plants-store-story-section-img.jpg	(from http://ecom.local/wp-content/uploads/elementor/css/post-1178.css?ver=1734937056)
12:47:21	8035/8035	---MCZ	200	added ('OK')	text/css	etag:W/%2267690e45-1f63%22	http://ecom.local/wp-content/uploads/elementor/css/post-252.css?ver=1734938181	C:/My%20Web%20Sites/ecom/ecom.local/wp-content/uploads/elementor/css/post-2529163.css	(from http://ecom.local/about/)
12:47:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Dec%202024%2007:17:22%20GMT	http://ecom.local/?p=252	C:/My%20Web%20Sites/ecom/ecom.local/indexa943.html	(from http://ecom.local/about/)
12:47:23	2000/2000	---MCZ	200	added ('OK')	application/json	date:Mon,%2023%20Dec%202024%2007:17:22%20GMT	http://ecom.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fecom.local%2Fabout%2F	C:/My%20Web%20Sites/ecom/ecom.local/wp-json/oembed/1.0/embed5e4b.json	(from http://ecom.local/about/)
12:47:23	2160/2160	---MCZ	200	added ('OK')	text/xml	date:Mon,%2023%20Dec%202024%2007:17:23%20GMT	http://ecom.local/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fecom.local%2Fabout%2F&format=xml	C:/My%20Web%20Sites/ecom/ecom.local/wp-json/oembed/1.0/embeda298	(from http://ecom.local/about/)
12:47:24	1363/1363	---M--	200	added ('OK')	image/jpeg	etag:%2267690962-553%22	http://ecom.local/wp-content/uploads/2021/08/plants-store-owner-avatar-img.jpg	C:/My%20Web%20Sites/ecom/ecom.local/wp-content/uploads/2021/08/plants-store-owner-avatar-img.jpg	(from http://ecom.local/about/)
12:47:28	28467/28467	---M--	200	added ('OK')	image/jpeg	etag:%2267690963-6f33%22	http://ecom.local/wp-content/uploads/2021/08/plants-store-gallery-img-6.jpg	C:/My%20Web%20Sites/ecom/ecom.local/wp-content/uploads/2021/08/plants-store-gallery-img-6.jpg	(from http://ecom.local/about/)
12:47:33	27736/27736	---M--	200	added ('OK')	image/jpeg	etag:%2267690965-6c58%22	http://ecom.local/wp-content/uploads/2021/08/plants-store-gallery-img-2.jpg	C:/My%20Web%20Sites/ecom/ecom.local/wp-content/uploads/2021/08/plants-store-gallery-img-2.jpg	(from http://ecom.local/about/)
12:47:35	189253/189253	---M--	200	added ('OK')	image/jpeg	etag:%2267690981-2e345%22	http://ecom.local/wp-content/uploads/2021/08/footer-background.jpg	C:/My%20Web%20Sites/ecom/ecom.local/wp-content/uploads/2021/08/footer-background.jpg	(from http://ecom.local/wp-content/uploads/elementor/css/post-1178.css?ver=1734937056)
12:47:35	198059/198059	---M--	200	added ('OK')	image/jpeg	etag:%2267690982-305ab%22	http://ecom.local/wp-content/uploads/2021/09/hero-section-bg.jpg	C:/My%20Web%20Sites/ecom/ecom.local/wp-content/uploads/2021/09/hero-section-bg.jpg	(from http://ecom.local/wp-content/uploads/elementor/css/post-1178.css?ver=1734937056)
12:47:36	1867/1867	---MCZ	200	added ('OK')	text/css	etag:W/%22676908c3-74b%22	http://ecom.local/wp-content/plugins/elementor/assets/css/widget-video.min.css?ver=3.26.3	C:/My%20Web%20Sites/ecom/ecom.local/wp-content/plugins/elementor/assets/css/widget-video.min7ac2.css	(from http://ecom.local/about/)
12:47:37	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%22676908c6-4057%22	http://ecom.local/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/ecom/ecom.local/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from http://ecom.local/about/)
